16:48:56:686 [ALWAYS]	GUDE Logging Started
16:48:56:686 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:48:56:687 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:48:56:687 [ERROR]	Initialize resume cache pointer failure
16:48:56:687 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:48:56:687 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:49:04:120 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:49:04:120 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:49:04:120 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:49:04:125 [ERROR]	Initialize resume cache pointer failure
16:49:04:125 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:49:04:125 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
